CITIES (Labels),2017,2018,2019
Belgium,11351727,11398589,11455519
Bruxelles / Brussel,1199095,1205492,1215289
Antwerpen,520859,523591,526439
Gent,259462,260329,262205
Charleroi,201884,202341,202637
Liège,383725,383710,383482
Brugge,118393,118526,118569
Namur,111111,111334,111239
Leuven,99640,100524,101132
Mons,95332,95369,95679
Kortrijk,75849,76342,76814
Oostende,71204,71451,71551
Bulgaria,7101859,7050034,:
Sofia,1236047,1238438,1241675
Plovdiv,343424,345213,346893
Varna,335177,335854,336505
Burgas,202766,202694,202434
Pleven,98467,97557,96610
Ruse,144936,144125,142902
Vidin,42801,42195,41583
Stara Zagora,136781,136307,135715
Sliven,87322,87063,86275
Dobrich,85402,84502,83584
Shumen,76967,75837,75500
Pernik,74110,73638,73111
Yambol,69542,68846,68074
Haskovo,71686,71214,70406
Pazardzhik,68963,68572,68194
Blagoevgrad,69567,69417,69178
Veliko Tarnovo,68478,68780,68859
Vratsa,53570,53120,52617
Czech Republic,10610055,:,:
Praha,1294513,:,1324277
Brno,379527,:,381346
Ostrava,290450,:,287968
Plzen,170936,:,174842
Ústí nad Labem,93040,:,92716
Olomouc,100494,:,100663
Liberec,103979,:,104802
Ceské Budejovice,93863,:,94463
Hradec Králové,92917,:,92939
Pardubice,90335,:,91727
Zlín,74947,:,74935
Kladno,68804,:,69337
Karlovy Vary,48776,:,48479
Jihlava,50724,:,51216
Havírov,72382,:,71200
Most,66644,:,66034
Karviná,53522,:,52128
Chomutov-Jirkov,68132,:,67876
Denmark,:,:,:
København,:,:,:
Århus,:,:,:
Odense,:,:,:
Aalborg,:,:,:
Germany,82521653,82792351,:
Berlin,3574830,3613495,3644826
Hamburg,1810438,1830584,1841179
München,1464301,1456039,1471508
Köln,1075935,1080394,1085664
Frankfurt am Main,736414,746878,753056
Essen,583084,583393,583109
Stuttgart,628032,632743,634830
Leipzig,571088,581980,587857
Dresden,547172,551072,554649
Dortmund,585813,586600,587010
Düsseldorf,613230,617280,619294
Bremen,565719,568006,569352
Hannover,532864,535061,538068
Nürnberg,511628,515201,518365
Bochum,364920,365529,364628
Bielefeld,333451,332552,333786
Halle an der Saale,238005,239173,239257
Magdeburg,238136,238478,238697
Wiesbaden,277619,278654,278342
Göttingen,119177,119529,119801
Mülheim a.d.Ruhr,170936,171265,170880
Moers,103881,103949,103725
Darmstadt,157437,158254,159207
Trier,110111,110013,110636
Freiburg im Breisgau,227590,229636,230241
Regensburg,148638,150894,152610
Frankfurt (Oder),58193,58237,57873
Weimar,64355,64426,65090
Schwerin,95668,95797,95818
Erfurt,211113,212988,213699
Augsburg,289584,292851,295135
Bonn,322125,325490,327258
Karlsruhe,309999,311919,313092
Mönchengladbach,260925,262188,261454
Mainz,213528,215110,217118
Kiel,247441,247943,247548
Saarbrücken,179709,180966,180741
Potsdam,171810,175710,178089
Koblenz,113605,113844,114024
Rostock,207513,208409,208886
Kaiserslautern,99302,99684,99845
Iserlohn,93197,92928,92666
Esslingen am Neckar,92186,93004,93542
Hanau,95370,96130,96023
Wilhelmshaven,76201,76316,76278
Ludwigsburg,93035,93593,93499
Tübingen,88347,89447,90546
Villingen-Schwenningen,84070,84557,85181
Flensburg,87432,88519,89504
Marburg,74675,76226,76851
Konstanz,83789,84441,84760
Neumünster,79680,79335,79487
Brandenburg an der Havel,71664,71886,72124
Gießen,86543,87343,88546
Lüneburg,74494,75192,75351
Bayreuth,73065,73999,74657
Celle,69561,69706,69602
Aschaffenburg,69187,69928,70527
Bamberg,75743,77179,77592
Plauen,65049,65148,64931
Neubrandenburg,63794,64259,64086
Fulda,67466,67973,68586
Kempten (Allgäu),67529,68330,68907
Landshut,70025,71193,72404
Sindelfingen,64159,64599,64858
Rosenheim,62672,63080,63324
Frankenthal (Pfalz),48445,48417,48561
Stralsund,59101,59517,59421
Friedrichshafen,59611,60088,60865
Offenburg,58736,59060,59646
Görlitz,55904,56391,56324
Sankt Augustin,56115,55873,55767
Neu-Ulm,56978,57727,58707
Schweinfurt,52724,53437,54032
Greifswald,57985,58886,59382
Wetzlar,52446,52828,52954
Speyer,50551,50931,50378
Passau,51074,51781,52469
Dessau-Roßlau,82505,82111,81237
Duisburg,499845,498110,498590
Mannheim,304781,307997,309370
Gelsenkirchen,262528,260305,260654
Münster,311846,313559,314319
Chemnitz,246353,246855,247237
Braunschweig,248667,248023,248292
Aachen,244951,246272,247380
Krefeld,226812,226699,227020
Oberhausen,211382,211422,210829
Lübeck,216712,216318,217198
Hagen,188266,187730,188814
Kassel,199062,200736,201585
Hamm,179571,179185,179111
Herne,156774,156490,156374
Solingen,158908,158803,159360
Osnabrück,164070,164374,164748
Ludwigshafen am Rhein,166621,168497,171061
Leverkusen,163113,163577,163838
Oldenburg (Oldenburg),165711,167081,168210
Neuss,152882,153810,153796
Heidelberg,159914,160601,160355
Paderborn,148677,149075,150580
Würzburg,126010,126635,127880
Recklinghausen,114003,113360,112267
Wolfsburg,123909,123914,124151
Bremerhaven,113034,113026,113634
Bottrop,117409,117364,117383
Heilbronn,123771,125113,125960
Remscheid,110611,110584,110994
Offenbach am Main,124589,126658,128744
Ulm,123953,125596,126329
Pforzheim,123493,124289,125542
Ingolstadt,133639,135244,136981
Gera,94750,94859,94152
Salzgitter,103668,104548,104948
Reutlingen,115006,115762,115966
Fürth,125403,126526,127748
Cottbus,100416,101036,100219
Siegen,101863,102337,102836
Bergisch Gladbach,111341,111627,111966
Hildesheim,101687,101744,101990
Witten,96781,96565,96563
Zwickau,90515,90192,89540
Erlangen,110238,110998,111962
Wuppertal,352390,353590,354382
Jena,110321,111099,111407
"Düren, Stadt",90066,90502,90733
"Bocholt, Stadt",71350,71036,71099
Estonia,1315635,1319133,:
Tallinn,426538,430805,434562
Tartu,93124,96506,96974
Narva,57130,56103,55249
Ireland,:,:,:
Dublin,:,:,:
Dublin (greater city),:,:,:
Cork,:,:,:
Limerick,:,:,:
Galway,:,:,:
Waterford,:,:,:
Greece,:,:,:
Athina,:,:,:
Athina (greater city),:,:,:
Thessaloniki,:,:,:
Pátra,:,:,:
Irakleio,:,:,:
Larisa,:,:,:
Volos,:,:,:
Ioannina,:,:,:
Kavala,:,:,:
Kalamata,:,:,:
Spain,46527039,46658447,:
Madrid,3182981,3223334,3266126
Madrid,4904291,4955432,5012504
Barcelona,1620809,1620343,1636762
Barcelona,3648483,3665687,3701270
Valencia,787808,791413,794288
Valencia,1386992,1393606,1403247
Sevilla,689434,688711,688592
Sevilla,879624,879870,880726
Zaragoza,664938,666880,674997
Málaga,569002,571026,574654
Murcia,443243,447182,453258
Las Palmas,377650,378517,379925
Valladolid,299715,298866,298412
Palma de Mallorca,406492,409661,416065
Santiago de Compostela,96456,96405,97260
Vitoria/Gasteiz,246976,249176,251774
Oviedo,220301,220020,219686
Pamplona/Iruña,197138,199066,201653
Pamplona/Iruña,322739,326136,330281
Santander,171951,172044,172539
Toledo,83741,84282,84873
Badajoz,150543,150530,150702
Logroño,150979,151113,151136
Bilbao,345110,345821,346843
Bilbao,790423,791054,792617
Córdoba,325916,325708,325701
Alicante/Alacant,329988,331577,334887
Vigo,292986,293642,295364
Gijón,272365,271843,271780
L'Hospitalet de Llobregat,257349,261068,264923
Santa Cruz de Tenerife,203692,204856,207312
Santa Cruz de Tenerife,357347,360405,364815
A Coruña,244099,244850,245711
Barakaldo,100313,100435,100881
Reus,103123,103477,104373
Telde,102005,102424,102647
Parla,125898,128256,130124
Lugo,97995,98025,98276
San Fernando,95643,95174,94979
Girona,99013,100266,101852
Cáceres,95917,96068,96126
Torrevieja,83252,82599,83337
Pozuelo de Alarcón,85605,86172,86422
"Puerto de Santa María, El",88430,88364,88405
Coslada,83011,81860,81661
Avilés,79514,78715,78182
Talavera de la Reina,83303,83009,83417
Palencia,78892,78629,78412
Sant Boi de Llobregat,82142,82904,83605
Ferrol,67569,66799,66065
Pontevedra,82671,82802,83029
Ceuta,84959,85144,84777
Gandia,74121,73829,74562
"Rozas de Madrid, Las",95071,95550,95814
Guadalajara,84145,84910,85871
Sant Cugat del Vallès,89516,90664,91006
Manresa,75152,76250,77714
