,len_warm,avg_warm_temp,highest_warm,lowest_warm,len_cold,avg_cold_temp,lowest_cold,highest_cold,seasonal_var,len_clearer,clear,len_cloudy,cloudy,shortest_day,longest_day
0,3.2 months,71°F,75°F,60°F,3.8 months,60°F,44°F,57°F,significant,3.2 months,77%,3.2 months,77%,"8 hours, 58 minutes","15 hours, 25 minutes"
1,3.1 months,66°F,73°F,57°F,3.7 months,47°F,32°F,41°F,significant,6.6 months,56%,6.6 months,56%,"7 hours, 57 minutes","16 hours, 30 minutes"
2,2.9 months,68°F,74°F,56°F,3.7 months,49°F,34°F,44°F,significant,6.2 months,60%,6.2 months,60%,"8 hours, 5 minutes","16 hours, 21 minutes"
3,3.1 months,72°F,78°F,58°F,3.7 months,53°F,36°F,48°F,significant,4.9 months,66%,4.9 months,66%,"8 hours, 27 minutes","15 hours, 58 minutes"
4,3.0 months,68°F,74°F,58°F,3.7 months,49°F,34°F,44°F,significant,6.6 months,58%,6.6 months,58%,"7 hours, 53 minutes","16 hours, 35 minutes"
5,3.1 months,68°F,75°F,57°F,3.6 months,45°F,29°F,38°F,significant,6.6 months,59%,6.6 months,59%,"8 hours, 5 minutes","16 hours, 22 minutes"
6,3.3 months,68°F,76°F,55°F,3.6 months,44°F,25°F,38°F,significant,3.5 months,61%,3.5 months,61%,"8 hours, 19 minutes","16 hours, 6 minutes"
7,2.9 months,78°F,83°F,69°F,4.1 months,61°F,40°F,56°F,significant,2.7 months,85%,2.7 months,85%,"9 hours, 11 minutes","15 hours, 10 minutes"
8,2.2 months,93°F,94°F,76°F,2.6 months,88°F,72°F,87°F,significant,3.0 months,36%,3.0 months,36%,12 hours,"11 hours, 37 minutes"
9,3.4 months,67°F,75°F,54°F,3.7 months,43°F,25°F,37°F,significant,6.2 months,57%,6.2 months,57%,"8 hours, 5 minutes","16 hours, 22 minutes"
10,3.1 months,61°F,65°F,54°F,4.0 months,49°F,37°F,46°F,mild,6.4 months,50%,6.4 months,50%,"7 hours, 15 minutes","17 hours, 17 minutes"
11,3.2 months,76°F,84°F,66°F,3.5 months,51°F,31°F,44°F,significant,3.0 months,74%,3.0 months,74%,"8 hours, 41 minutes","15 hours, 43 minutes"
12,3.4 months,69°F,77°F,59°F,3.8 months,45°F,29°F,37°F,significant,6.6 months,56%,6.6 months,56%,"7 hours, 39 minutes","16 hours, 50 minutes"
13,3.1 months,70°F,77°F,58°F,3.6 months,48°F,31°F,42°F,significant,3.6 months,65%,3.6 months,65%,"8 hours, 28 minutes","15 hours, 56 minutes"
14,3.2 months,67°F,74°F,56°F,3.7 months,46°F,31°F,40°F,significant,6.5 months,54%,6.5 months,54%,"7 hours, 44 minutes","16 hours, 44 minutes"
15,3.0 months,71°F,76°F,62°F,3.8 months,58°F,41°F,54°F,significant,3.2 months,77%,3.2 months,77%,"8 hours, 58 minutes","15 hours, 24 minutes"
16,3.2 months,79°F,88°F,68°F,3.3 months,52°F,32°F,43°F,significant,3.2 months,79%,3.2 months,79%,"8 hours, 50 minutes","15 hours, 33 minutes"
17,3.1 months,69°F,76°F,57°F,3.7 months,48°F,32°F,43°F,significant,6.5 months,57%,6.5 months,57%,"7 hours, 57 minutes","16 hours, 30 minutes"
18,3.2 months,76°F,82°F,60°F,3.5 months,56°F,37°F,52°F,significant,3.8 months,74%,3.8 months,74%,"8 hours, 47 minutes","15 hours, 36 minutes"
19,3.0 months,65°F,70°F,55°F,4.0 months,51°F,36°F,47°F,significant,6.4 months,59%,6.4 months,59%,"7 hours, 58 minutes","16 hours, 30 minutes"
20,2.9 months,62°F,66°F,53°F,4.1 months,47°F,34°F,42°F,significant,5.2 months,53%,5.2 months,53%,"7 hours, 25 minutes","17 hours, 6 minutes"
21,3.7 months,67°F,75°F,56°F,3.5 months,41°F,20°F,32°F,significant,3.0 months,79%,3.0 months,79%,"8 hours, 41 minutes","15 hours, 42 minutes"
22,3.5 months,72°F,81°F,61°F,3.5 months,45°F,27°F,36°F,significant,5.1 months,67%,5.1 months,67%,"8 hours, 21 minutes","16 hours, 4 minutes"
23,3.2 months,66°F,73°F,55°F,3.8 months,46°F,31°F,40°F,significant,6.4 months,54%,6.4 months,54%,"7 hours, 33 minutes","16 hours, 57 minutes"
24,3.3 months,65°F,72°F,56°F,3.8 months,45°F,30°F,39°F,significant,6.4 months,55%,6.4 months,55%,"7 hours, 28 minutes","17 hours, 3 minutes"
25,3.5 months,76°F,85°F,66°F,3.2 months,50°F,30°F,42°F,significant,3.0 months,74%,3.0 months,74%,"8 hours, 42 minutes","15 hours, 41 minutes"
26,3.7 months,67°F,76°F,58°F,3.7 months,40°F,23°F,31°F,significant,6.3 months,58%,6.3 months,58%,"7 hours, 44 minutes","16 hours, 45 minutes"
27,3.1 months,64°F,68°F,56°F,4.0 months,50°F,36°F,45°F,significant,6.4 months,59%,6.4 months,59%,"7 hours, 56 minutes","16 hours, 31 minutes"
28,3.0 months,65°F,70°F,57°F,4.0 months,50°F,37°F,45°F,significant,6.1 months,58%,6.1 months,58%,"7 hours, 50 minutes","16 hours, 38 minutes"
29,3.4 months,69°F,78°F,59°F,3.5 months,42°F,25°F,33°F,significant,6.0 months,63%,6.0 months,63%,"8 hours, 12 minutes","16 hours, 14 minutes"
30,3.0 months,67°F,74°F,57°F,3.7 months,48°F,34°F,43°F,significant,6.5 months,58%,6.5 months,58%,"7 hours, 56 minutes","16 hours, 31 minutes"
31,3.7 months,76°F,86°F,63°F,3.4 months,46°F,24°F,36°F,significant,3.7 months,85%,3.7 months,85%,"8 hours, 50 minutes","15 hours, 33 minutes"
32,3.6 months,72°F,81°F,61°F,3.5 months,46°F,26°F,37°F,significant,4.8 months,69%,4.8 months,69%,"8 hours, 26 minutes","15 hours, 58 minutes"
33,3.3 months,76°F,84°F,65°F,3.6 months,51°F,30°F,43°F,significant,3.7 months,92%,3.7 months,92%,"9 hours, 4 minutes","15 hours, 18 minutes"
34,3.0 months,68°F,73°F,57°F,3.8 months,52°F,37°F,47°F,significant,5.0 months,61%,5.0 months,61%,"8 hours, 12 minutes","16 hours, 14 minutes"
35,2.8 months,82°F,88°F,70°F,4.2 months,64°F,43°F,58°F,significant,2.7 months,92%,2.7 months,92%,"9 hours, 24 minutes","14 hours, 56 minutes"
36,2.7 months,67°F,72°F,57°F,4.0 months,50°F,36°F,45°F,significant,6.5 months,57%,6.5 months,57%,"7 hours, 42 minutes","16 hours, 46 minutes"
37,3.0 months,64°F,69°F,57°F,4.0 months,50°F,38°F,46°F,significant,6.3 months,56%,6.3 months,56%,"7 hours, 50 minutes","16 hours, 38 minutes"
38,2.9 months,83°F,89°F,69°F,4.1 months,65°F,41°F,59°F,significant,3.0 months,97%,3.0 months,97%,"9 hours, 34 minutes","14 hours, 45 minutes"
39,3.0 months,67°F,74°F,58°F,3.7 months,48°F,33°F,42°F,significant,6.4 months,58%,6.4 months,58%,"8 hours, 1 minute","16 hours, 27 minutes"
40,3.5 months,73°F,83°F,64°F,3.3 months,45°F,20°F,36°F,mild,4.6 months,65%,4.6 months,65%,"9 hours, 10 minutes","15 hours, 11 minutes"
41,2.9 months,72°F,78°F,57°F,3.6 months,51°F,31°F,45°F,significant,3.5 months,69%,3.5 months,69%,"8 hours, 40 minutes","15 hours, 43 minutes"
42,3.8 months,69°F,78°F,57°F,3.1 months,41°F,21°F,32°F,significant,3.0 months,76%,3.0 months,76%,"8 hours, 32 minutes","15 hours, 52 minutes"
43,3.0 months,78°F,83°F,60°F,3.7 months,62°F,40°F,57°F,significant,3.3 months,88%,3.3 months,88%,"9 hours, 18 minutes","15 hours, 2 minutes"
44,2.8 months,66°F,71°F,56°F,4.0 months,50°F,36°F,45°F,significant,6.5 months,57%,6.5 months,57%,"7 hours, 46 minutes","16 hours, 43 minutes"
45,3.5 months,74°F,83°F,65°F,3.5 months,48°F,28°F,39°F,extreme,3.9 months,89%,3.9 months,89%,"8 hours, 52 minutes","15 hours, 31 minutes"
46,2.8 months,65°F,71°F,55°F,4.0 months,49°F,35°F,44°F,significant,5.8 months,57%,5.8 months,57%,"7 hours, 40 minutes","16 hours, 49 minutes"
47,3.5 months,76°F,86°F,64°F,3.5 months,47°F,25°F,37°F,significant,3.7 months,85%,3.7 months,85%,"8 hours, 51 minutes","15 hours, 32 minutes"
48,3.0 months,79°F,84°F,69°F,3.6 months,65°F,47°F,60°F,significant,3.1 months,94%,3.1 months,94%,"9 hours, 40 minutes","14 hours, 40 minutes"
49,3.2 months,70°F,77°F,57°F,3.6 months,47°F,30°F,41°F,significant,6.5 months,60%,6.5 months,60%,"8 hours, 6 minutes","16 hours, 21 minutes"
50,3.8 months,71°F,81°F,61°F,3.1 months,43°F,24°F,35°F,significant,4.4 months,71%,4.4 months,71%,"8 hours, 26 minutes","15 hours, 59 minutes"
51,2.9 months,65°F,70°F,55°F,4.0 months,49°F,35°F,44°F,significant,5.5 months,56%,5.5 months,56%,"7 hours, 35 minutes","16 hours, 55 minutes"
52,3.8 months,84°F,95°F,72°F,3.2 months,51°F,28°F,40°F,extreme,4.7 months,95%,4.7 months,95%,"9 hours, 15 minutes","15 hours, 6 minutes"
53,2.9 months,66°F,71°F,55°F,4.0 months,50°F,36°F,46°F,significant,5.3 months,55%,5.3 months,55%,"7 hours, 28 minutes","17 hours, 3 minutes"
54,3.3 months,69°F,77°F,59°F,3.8 months,46°F,29°F,38°F,significant,6.1 months,55%,6.1 months,55%,"7 hours, 54 minutes","16 hours, 33 minutes"
55,3.2 months,69°F,76°F,58°F,3.7 months,49°F,33°F,43°F,significant,6.7 months,57%,6.7 months,57%,"7 hours, 53 minutes","16 hours, 35 minutes"
56,3.1 months,68°F,75°F,57°F,3.7 months,45°F,28°F,37°F,significant,6.2 months,57%,6.2 months,57%,"7 hours, 55 minutes","16 hours, 33 minutes"
57,3.0 months,65°F,70°F,54°F,4.1 months,51°F,36°F,47°F,significant,6.3 months,57%,6.3 months,57%,"7 hours, 57 minutes","16 hours, 30 minutes"
58,2.8 months,82°F,90°F,66°F,3.7 months,58°F,35°F,50°F,significant,3.5 months,82%,3.5 months,82%,"8 hours, 55 minutes","15 hours, 28 minutes"
59,3.2 months,64°F,70°F,56°F,3.9 months,44°F,31°F,38°F,significant,6.1 months,57%,6.1 months,57%,"7 hours, 13 minutes","17 hours, 19 minutes"
60,3.2 months,69°F,77°F,58°F,3.6 months,47°F,30°F,39°F,significant,6.7 months,60%,6.7 months,60%,"8 hours, 3 minutes","16 hours, 24 minutes"
61,3.3 months,70°F,77°F,57°F,3.6 months,47°F,30°F,41°F,significant,3.4 months,61%,3.4 months,61%,"8 hours, 22 minutes","16 hours, 3 minutes"
62,3.5 months,65°F,73°F,56°F,3.9 months,43°F,26°F,35°F,significant,6.2 months,58%,6.2 months,58%,"7 hours, 18 minutes","17 hours, 13 minutes"
63,2.8 months,75°F,81°F,71°F,3.9 months,57°F,42°F,51°F,significant,3.1 months,79%,3.1 months,79%,"8 hours, 50 minutes","15 hours, 33 minutes"
64,3.0 months,67°F,73°F,58°F,3.7 months,49°F,35°F,43°F,significant,6.4 months,58%,6.4 months,58%,"7 hours, 54 minutes","16 hours, 33 minutes"
65,3.1 months,67°F,74°F,57°F,3.6 months,45°F,30°F,39°F,significant,6.5 months,58%,6.5 months,58%,"7 hours, 59 minutes","16 hours, 28 minutes"
66,3.1 months,73°F,81°F,61°F,3.6 months,52°F,32°F,44°F,significant,2.9 months,70%,2.9 months,70%,"8 hours, 45 minutes","15 hours, 38 minutes"
67,3.5 months,67°F,75°F,57°F,3.7 months,43°F,27°F,35°F,significant,6.5 months,55%,6.5 months,55%,"7 hours, 53 minutes","16 hours, 35 minutes"
68,3.3 months,62°F,69°F,55°F,3.9 months,42°F,26°F,35°F,significant,5.6 months,57%,5.6 months,57%,"6 hours, 32 minutes","18 hours, 6 minutes"
69,3.0 months,67°F,75°F,57°F,3.8 months,45°F,29°F,38°F,significant,6.4 months,55%,6.4 months,55%,"7 hours, 49 minutes","16 hours, 39 minutes"
70,3.2 months,69°F,77°F,58°F,3.7 months,46°F,29°F,39°F,significant,6.2 months,56%,6.2 months,56%,"7 hours, 50 minutes","16 hours, 38 minutes"
71,3.2 months,66°F,73°F,56°F,3.9 months,45°F,30°F,39°F,significant,6.5 months,55%,6.5 months,55%,"7 hours, 27 minutes","17 hours, 3 minutes"
72,3.3 months,67°F,75°F,57°F,3.8 months,46°F,30°F,40°F,significant,6.5 months,55%,6.5 months,55%,"7 hours, 41 minutes","16 hours, 48 minutes"
73,3.3 months,72°F,80°F,60°F,3.6 months,48°F,31°F,40°F,significant,5.0 months,60%,5.0 months,60%,"8 hours, 10 minutes","16 hours, 16 minutes"
74,3.0 months,70°F,78°F,59°F,3.7 months,47°F,30°F,39°F,significant,4.8 months,61%,4.8 months,61%,"8 hours, 12 minutes","16 hours, 14 minutes"
75,3.1 months,67°F,74°F,57°F,3.8 months,46°F,30°F,39°F,significant,6.5 months,55%,6.5 months,55%,"7 hours, 43 minutes","16 hours, 46 minutes"
76,3.8 months,73°F,83°F,62°F,3.5 months,43°F,23°F,33°F,significant,4.0 months,78%,4.0 months,78%,"8 hours, 29 minutes","15 hours, 55 minutes"
77,3.4 months,68°F,77°F,56°F,3.6 months,44°F,25°F,38°F,significant,4.5 months,60%,4.5 months,60%,"8 hours, 16 minutes","16 hours, 10 minutes"
78,2.9 months,66°F,72°F,56°F,4.0 months,50°F,36°F,45°F,significant,6.5 months,57%,6.5 months,57%,"7 hours, 44 minutes","16 hours, 45 minutes"
79,3.0 months,65°F,72°F,56°F,3.8 months,45°F,30°F,39°F,significant,6.5 months,56%,6.5 months,56%,"7 hours, 51 minutes","16 hours, 37 minutes"
80,3.1 months,69°F,76°F,55°F,3.6 months,46°F,28°F,40°F,significant,5.0 months,60%,5.0 months,60%,"8 hours, 10 minutes","16 hours, 17 minutes"
81,3.0 months,71°F,79°F,59°F,3.7 months,48°F,31°F,42°F,significant,4.4 months,61%,4.4 months,61%,"8 hours, 13 minutes","16 hours, 12 minutes"
82,3.2 months,67°F,75°F,55°F,3.7 months,45°F,29°F,39°F,significant,6.6 months,56%,6.6 months,56%,"7 hours, 52 minutes","16 hours, 36 minutes"
